年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前九百八十七年,-987,甲午,马,周朝,西周,,西周昭王姬瑕,,昭王九年,,
公元前九百八十六年,-986,乙未,羊,周朝,西周,,西周昭王姬瑕,,昭王十年,,
公元前九百八十五年,-985,丙申,猴,周朝,西周,,西周昭王姬瑕,,昭王十一年,,
公元前九百八十四年,-984,丁酉,鸡,周朝,西周,,西周昭王姬瑕,,昭王十二年,,
公元前九百八十三年,-983,戊戌,狗,周朝,西周,,西周昭王姬瑕,,昭王十三年,,
公元前九百八十二年,-982,己亥,猪,周朝,西周,,西周昭王姬瑕,,昭王十四年,,
公元前九百八十一年,-981,庚子,鼠,周朝,西周,,西周昭王姬瑕,,昭王十五年,,
公元前九百八十年,-980,辛丑,牛,周朝,西周,,西周昭王姬瑕,,昭王十六年,,
公元前九百七十九年,-979,壬寅,虎,周朝,西周,,西周昭王姬瑕,,昭王十七年,,
公元前九百七十八年,-978,癸卯,兔,周朝,西周,,西周昭王姬瑕,,昭王十八年,,
公元前九百七十七年,-977,甲辰,龙,周朝,西周,,西周昭王姬瑕,西周穆王姬满,昭王十九年,穆王元年,
公元前九百七十六年,-976,乙巳,蛇,周朝,西周,,西周穆王姬满,,穆王二年,,
公元前九百七十五年,-975,丙午,马,周朝,西周,,西周穆王姬满,,穆王三年,,
公元前九百七十四年,-974,丁未,羊,周朝,西周,,西周穆王姬满,,穆王四年,,
公元前九百七十三年,-973,戊申,猴,周朝,西周,,西周穆王姬满,,穆王五年,,
公元前九百七十二年,-972,己酉,鸡,周朝,西周,,西周穆王姬满,,穆王六年,,
公元前九百七十一年,-971,庚戌,狗,周朝,西周,,西周穆王姬满,,穆王七年,,
公元前九百七十年,-970,辛亥,猪,周朝,西周,,西周穆王姬满,,穆王八年,,
公元前九百六十九年,-969,壬子,鼠,周朝,西周,,西周穆王姬满,,穆王九年,,
公元前九百六十八年,-968,癸丑,牛,周朝,西周,,西周穆王姬满,,穆王十年,,
公元前九百六十七年,-967,甲寅,虎,周朝,西周,,西周穆王姬满,,穆王十一年,,
公元前九百六十六年,-966,乙卯,兔,周朝,西周,,西周穆王姬满,,穆王十二年,,
公元前九百六十五年,-965,丙辰,龙,周朝,西周,,西周穆王姬满,,穆王十三年,,
公元前九百六十四年,-964,丁巳,蛇,周朝,西周,,西周穆王姬满,,穆王十四年,,
公元前九百六十三年,-963,戊午,马,周朝,西周,,西周穆王姬满,,穆王十五年,,
公元前九百六十二年,-962,己未,羊,周朝,西周,,西周穆王姬满,,穆王十六年,,
公元前九百六十一年,-961,庚申,猴,周朝,西周,,西周穆王姬满,,穆王十七年,,
公元前九百六十年,-960,辛酉,鸡,周朝,西周,,西周穆王姬满,,穆王十八年,,
公元前九百五十九年,-959,壬戌,狗,周朝,西周,,西周穆王姬满,,穆王十九年,,
公元前九百五十八年,-958,癸亥,猪,周朝,西周,,西周穆王姬满,,穆王二十年,,
公元前九百五十七年,-957,甲子,鼠,周朝,西周,,西周穆王姬满,,穆王二十一年,,
公元前九百五十六年,-956,乙丑,牛,周朝,西周,,西周穆王姬满,,穆王二十二年,,
公元前九百五十五年,-955,丙寅,虎,周朝,西周,,西周穆王姬满,,穆王二十三年,,
公元前九百五十四年,-954,丁卯,兔,周朝,西周,,西周穆王姬满,,穆王二十四年,,
公元前九百五十三年,-953,戊辰,龙,周朝,西周,,西周穆王姬满,,穆王二十五年,,
公元前九百五十二年,-952,己巳,蛇,周朝,西周,,西周穆王姬满,,穆王二十六年,,
公元前九百五十一年,-951,庚午,马,周朝,西周,,西周穆王姬满,,穆王二十七年,,
公元前九百五十年,-950,辛未,羊,周朝,西周,,西周穆王姬满,,穆王二十八年,,
公元前九百四十九年,-949,壬申,猴,周朝,西周,,西周穆王姬满,,穆王二十九年,,
公元前九百四十八年,-948,癸酉,鸡,周朝,西周,,西周穆王姬满,,穆王三十年,,
公元前九百四十七年,-947,甲戌,狗,周朝,西周,,西周穆王姬满,,穆王三十一年,,
公元前九百四十六年,-946,乙亥,猪,周朝,西周,,西周穆王姬满,,穆王三十二年,,
公元前九百四十五年,-945,丙子,鼠,周朝,西周,,西周穆王姬满,,穆王三十三年,,
公元前九百四十四年,-944,丁丑,牛,周朝,西周,,西周穆王姬满,,穆王三十四年,,
公元前九百四十三年,-943,戊寅,虎,周朝,西周,,西周穆王姬满,,穆王三十五年,,
公元前九百四十二年,-942,己卯,兔,周朝,西周,,西周穆王姬满,,穆王三十六年,,
公元前九百四十一年,-941,庚辰,龙,周朝,西周,,西周穆王姬满,,穆王三十七年,,
公元前九百四十年,-940,辛巳,蛇,周朝,西周,,西周穆王姬满,,穆王三十八年,,
公元前九百三十九年,-939,壬午,马,周朝,西周,,西周穆王姬满,,穆王三十九年,,
公元前九百三十八年,-938,癸未,羊,周朝,西周,,西周穆王姬满,,穆王四十年,,
公元前九百三十七年,-937,甲申,猴,周朝,西周,,西周穆王姬满,,穆王四十一年,,
公元前九百三十六年,-936,乙酉,鸡,周朝,西周,,西周穆王姬满,,穆王四十二年,,
公元前九百三十五年,-935,丙戌,狗,周朝,西周,,西周穆王姬满,,穆王四十三年,,
公元前九百三十四年,-934,丁亥,猪,周朝,西周,,西周穆王姬满,,穆王四十四年,,
公元前九百三十三年,-933,戊子,鼠,周朝,西周,,西周穆王姬满,,穆王四十五年,,
公元前九百三十二年,-932,己丑,牛,周朝,西周,,西周穆王姬满,,穆王四十六年,,
公元前九百三十一年,-931,庚寅,虎,周朝,西周,,西周穆王姬满,,穆王四十七年,,
公元前九百三十年,-930,辛卯,兔,周朝,西周,,西周穆王姬满,,穆王四十八年,,
公元前九百二十九年,-929,壬辰,龙,周朝,西周,,西周穆王姬满,,穆王四十九年,,
公元前九百二十八年,-928,癸巳,蛇,周朝,西周,,西周穆王姬满,,穆王五十年,,
公元前九百二十七年,-927,甲午,马,周朝,西周,,西周穆王姬满,,穆王五十一年,,
